iter	Passed	Remaining
0	20	2046
1	39	1950
2	57	1867
3	78	1895
4	97	1845
5	115	1801
6	133	1772
7	151	1747
8	169	1717
9	186	1678
10	202	1637
11	221	1623
12	239	1600
13	257	1582
14	275	1560
15	294	1547
16	313	1528
17	329	1503
18	349	1489
19	367	1471
20	387	1456
21	406	1440
22	426	1427
23	445	1412
24	465	1396
25	485	1381
26	504	1364
27	524	1349
28	545	1334
29	564	1316
30	581	1294
31	602	1280
32	622	1264
33	643	1248
34	661	1229
35	682	1213
36	702	1195
37	722	1178
38	743	1162
39	765	1147
40	784	1129
41	805	1111
42	827	1097
43	865	1101
44	896	1095
45	926	1087
46	949	1071
47	973	1054
48	985	1025
49	1007	1007
50	1027	987
51	1052	971
52	1083	960
53	1110	946
54	1141	933
55	1172	921
56	1201	906
57	1230	891
58	1255	872
59	1279	852
60	1306	835
61	1330	815
62	1357	797
63	1387	780
64	1415	762
65	1442	742
66	1468	723
67	1491	702
68	1514	680
69	1541	660
70	1567	640
71	1597	621
72	1621	599
73	1645	578
74	1666	555
75	1688	533
76	1713	511
77	1738	490
78	1757	467
79	1781	445
80	1803	423
81	1826	400
82	1848	378
83	1869	356
84	1891	333
85	1913	311
86	1934	289
87	1960	267
88	1983	245
89	2003	222
90	2025	200
91	2046	177
92	2067	155
93	2087	133
94	2110	111
95	2134	88
96	2152	66
97	2175	44
98	2196	22
99	2220	0
